year,quarter,score
2022,2,-0.6413909196853638
2022,1,0.9639886617660522
2022,1,-0.9865859746932983
2022,1,0.9975075721740723
2022,1,0.9898960590362549
2022,1,0.9812069535255432
2021,4,0.9951834082603455
2021,4,-0.9993724226951599
2021,4,0.9886007905006409
2021,4,0.9976711869239807
2021,4,0.9997177720069885
2021,4,-0.8811163306236267
2021,4,-0.999350368976593
2021,4,-0.9991058707237244
2021,4,-0.9758910536766052
2021,4,0.9949260950088501
2021,4,-0.9985284805297852
2021,4,-0.9987667798995972
2021,4,-0.9338785409927368
2021,4,0.9602450132369995
2021,4,0.9741089344024658
2021,4,0.996008038520813
2021,4,-0.9981864094734192
2021,4,-0.5105898380279541
2021,4,0.9592195153236389
2021,4,-0.9990585446357727
2021,3,0.9986681938171387
2021,3,0.9947453737258911
2021,3,-0.9863242506980896
2021,3,0.999666690826416
2021,3,0.998958945274353
2021,3,-0.9903834462165833
2021,3,0.9181491136550903
2021,3,-0.7964334487915039
2021,3,0.9983006119728088
2021,3,0.9904815554618835
2021,2,0.9946904182434082
2021,2,0.7867989540100098
2021,2,-0.9865201711654663
2021,2,0.9765520095825195
2021,2,0.9835702180862427
2021,2,-0.9937630295753479
2021,2,0.7427245378494263
2021,2,-0.757351815700531
2021,2,0.9995393753051758
2021,2,0.9371528625488281
2021,2,0.9998469352722168
2021,2,0.9991193413734436
2021,1,0.9986076951026917
2021,1,0.996920108795166
2021,1,0.9996935129165649
2021,1,-0.9987198114395142
2021,1,-0.806759774684906
2021,1,-0.999760091304779
2021,1,0.9987994432449341
2021,1,-0.9953113198280334
2021,1,-0.9984845519065857
2021,1,0.9782750606536865
2021,1,-0.999460756778717
2021,1,-0.9987605810165405
2021,1,-0.9768431186676025
2021,1,0.8947172164916992
2021,1,0.9988044500350952
2021,1,-0.9994507431983948
2021,1,-0.9963661432266235
2021,1,-0.9980688691139221
2020,4,0.9818508625030518
2020,4,-0.9991447925567627
2020,4,-0.9842931628227234
2020,4,-0.907856822013855
2020,4,-0.9997461438179016
2020,4,0.9998633861541748
2020,4,0.7602699995040894
2020,4,-0.6748687624931335
2020,4,0.996482253074646
2020,4,0.9996358156204224
2020,4,-0.9990845918655396
2020,4,0.9514826536178589
2020,4,-0.9827430248260498
2020,4,0.9936476349830627
2020,4,-0.9912290573120117
2020,4,-0.9993166923522949
2020,4,0.9998037219047546
2020,4,0.9390842914581299
2020,4,0.9984431862831116
2020,4,0.9997392296791077
2020,3,-0.9995637536048889
2020,3,-0.999768078327179
2020,3,-0.9997585415840149
2020,3,0.8748056292533875
2020,3,0.9983899593353271
2020,3,-0.8311979174613953
2020,3,0.9936102032661438
2020,3,0.7335435748100281
2020,2,0.9998534917831421
2020,2,0.9979574680328369
2020,2,0.9593676328659058
2020,2,0.9954942464828491
2020,2,0.997123658657074
2020,2,-0.9871236085891724
2020,2,-0.9493716359138489
2020,2,0.9659596681594849
2020,2,0.9998562335968018
2020,1,0.9987576007843018
2020,1,0.9998776912689209
2020,1,-0.9939849972724915
2020,1,-0.9950756430625916
2020,1,-0.7812671661376953
2020,1,0.9996490478515625
2020,1,-0.8846446871757507
2020,1,-0.9814925789833069
2020,1,-0.8652538061141968
2020,1,0.9826144576072693
2020,1,0.9997599720954895
2019,4,-0.9960928559303284
2019,4,-0.9994680285453796
2019,4,-0.9961697459220886
2019,4,0.6214829683303833
2019,4,0.9998335838317871
2019,4,-0.9996786117553711
2019,4,0.9997988343238831
2019,4,-0.9991509914398193
2019,4,0.9998432397842407
2019,4,0.9656777381896973
2019,4,0.9927720427513123
2019,4,0.9998531341552734
2019,4,0.9927720427513123
2019,4,0.9840062260627747
2019,4,0.9839418530464172
2019,3,-0.9781345129013062
2019,3,-0.8997870683670044
2019,3,0.9949532151222229
2019,3,0.9826069474220276
