,date,year,quarter,score
120,2019-10-21,2019,4,0.9966480135917664
121,2019-10-18,2019,4,0.9795569181442261
122,2019-10-17,2019,4,0.9737270474433899
123,2019-10-16,2019,4,0.9795569181442261
124,2019-10-09,2019,4,0.9983002543449402
125,2019-10-07,2019,4,0.9795569181442261
126,2019-10-04,2019,4,0.9795569181442261
127,2019-10-03,2019,4,0.976637065410614
128,2019-10-01,2019,4,0.976637065410614
129,2019-09-27,2019,3,-0.8778435587882996
130,2019-09-26,2019,3,0.9983768463134766
131,2019-09-26,2019,3,0.9795569181442261
132,2019-09-05,2019,3,0.9067361950874329
133,2019-09-04,2019,3,0.9795569181442261
134,2019-08-20,2019,3,-0.9232401251792908
135,2019-08-05,2019,3,-0.7506260871887207
136,2019-07-16,2019,3,0.9795569181442261
137,2019-07-11,2019,3,0.9888285994529724
138,2019-07-09,2019,3,0.9990516304969788
139,2019-07-09,2019,3,-0.9975787997245789
140,2019-07-01,2019,3,0.9795569181442261
141,2019-06-25,2019,2,0.9795569181442261
142,2019-06-25,2019,2,-0.9969316720962524
143,2019-06-21,2019,2,-0.9450177550315857
144,2019-06-05,2019,2,0.9795569181442261
145,2019-06-04,2019,2,0.9795569181442261
146,2019-06-03,2019,2,0.8413238525390625
147,2019-05-30,2019,2,0.9037857055664062
148,2019-05-30,2019,2,0.9795569181442261
149,2019-05-20,2019,2,0.9795569181442261
150,2019-05-17,2019,2,0.9795569181442261
151,2019-05-16,2019,2,0.9795569181442261
152,2019-05-13,2019,2,0.9795569181442261
153,2019-05-09,2019,2,0.9997228980064392
154,2019-05-08,2019,2,0.9795569181442261
155,2019-04-11,2019,2,-0.9181117415428162
156,2019-04-11,2019,2,0.9795569181442261
157,2019-04-10,2019,2,0.9620233774185181
158,2019-04-09,2019,2,0.9795569181442261
159,2019-04-02,2019,2,0.9795569181442261
160,2019-04-02,2019,2,-0.9931480288505554
161,2019-03-29,2019,1,0.8826557993888855
162,2019-03-28,2019,1,0.8613853454589844
163,2019-03-28,2019,1,0.9951907396316528
164,2019-03-28,2019,1,0.9890410304069519
165,2019-03-25,2019,1,0.976637065410614
166,2019-03-12,2019,1,0.9984087347984314
167,2019-03-11,2019,1,-0.9930744171142578
168,2019-03-07,2019,1,0.9795569181442261
169,2019-02-28,2019,1,0.9795569181442261
170,2019-02-23,2019,1,0.9971823692321777
171,2019-02-22,2019,1,0.9795569181442261
172,2019-02-22,2019,1,0.9795569181442261
173,2019-02-12,2019,1,0.9981885552406311
174,2019-02-11,2019,1,0.9971515536308289
175,2019-02-10,2019,1,-0.9641434550285339
176,2019-02-06,2019,1,0.9795569181442261
177,2019-02-06,2019,1,-0.9580047726631165
178,2019-02-01,2019,1,-0.9930744171142578
179,2019-01-10,2019,1,0.9795569181442261
180,2019-01-09,2019,1,0.9985935091972351
181,2018-12-06,2018,4,0.965120255947113
182,2018-12-03,2018,4,0.9795569181442261
183,2018-12-03,2018,4,0.9992013573646545
184,2018-11-27,2018,4,0.9621220827102661
185,2018-11-16,2018,4,-0.9995423555374146
186,2018-11-13,2018,4,0.8107898235321045
187,2018-11-09,2018,4,-0.9994474053382874
188,2018-10-25,2018,4,0.9795569181442261
189,2018-10-18,2018,4,0.9795569181442261
190,2018-10-17,2018,4,0.9995892643928528
191,2018-10-15,2018,4,0.965120255947113
192,2018-10-03,2018,4,0.5550350546836853
193,2018-09-27,2018,3,0.9795569181442261
194,2018-09-12,2018,3,0.9755582809448242
195,2018-07-18,2018,3,-0.9278308749198914
196,2018-06-27,2018,2,0.7985613942146301
197,2018-06-20,2018,2,0.9795569181442261
198,2018-05-31,2018,2,0.9795569181442261
199,2018-05-25,2018,2,0.9974133372306824
200,2018-05-18,2018,2,-0.9868491888046265
201,2018-05-16,2018,2,0.7842538356781006
202,2018-05-15,2018,2,-0.9807353615760803
203,2018-04-19,2018,2,0.9983002543449402
204,2018-04-17,2018,2,-0.9930744171142578
205,2018-04-03,2018,2,0.9996039271354675
206,2018-03-26,2018,1,0.965120255947113
207,2018-03-06,2018,1,0.9795569181442261
208,2018-03-05,2018,1,0.7966046929359436
209,2018-02-26,2018,1,-0.9278308749198914
210,2018-02-26,2018,1,0.98769611120224
211,2018-02-22,2018,1,0.967341423034668
212,2018-02-13,2018,1,0.9795569181442261
213,2018-01-19,2018,1,-0.9278308749198914
214,2017-12-13,2017,4,-0.9997743964195251
215,2017-11-30,2017,4,-0.9968332648277283
216,2017-11-16,2017,4,0.8853352069854736
217,2017-11-15,2017,4,0.976637065410614
218,2017-11-07,2017,4,0.9795569181442261
219,2017-10-20,2017,4,0.9795569181442261
220,2017-10-18,2017,4,-0.7419441938400269
221,2017-10-15,2017,4,0.9621220827102661
222,2017-10-12,2017,4,0.9795569181442261
223,2017-10-05,2017,4,-0.776236355304718
224,2017-10-04,2017,4,0.976637065410614
225,2017-09-05,2017,3,0.9795569181442261
226,2017-08-30,2017,3,0.9982206225395203
227,2017-08-25,2017,3,0.9875248670578003
228,2017-07-28,2017,3,0.976637065410614
229,2017-07-06,2017,3,-0.9278308749198914
230,2017-06-27,2017,2,0.8883748054504395
231,2017-06-26,2017,2,0.7966046929359436
232,2017-06-20,2017,2,0.9284326434135437
233,2017-05-30,2017,2,0.9795569181442261
234,2017-05-22,2017,2,-0.807637631893158
235,2017-05-05,2017,2,0.9909225106239319
236,2017-05-05,2017,2,0.9481481313705444
237,2017-04-28,2017,2,0.9994175434112549
238,2017-04-20,2017,2,0.999652624130249
239,2017-04-19,2017,2,0.9638679027557373
240,2017-04-05,2017,2,0.9845474362373352
241,2017-04-04,2017,2,0.7789910435676575
242,2017-03-28,2017,1,0.9795569181442261
243,2017-03-23,2017,1,0.9909225106239319
244,2017-03-03,2017,1,0.9871180057525635
245,2017-03-03,2017,1,0.9997100234031677
246,2017-03-03,2017,1,-0.948390007019043
247,2017-03-01,2017,1,0.9795569181442261
248,2017-01-18,2017,1,0.9795569181442261
249,2017-01-17,2017,1,0.990020751953125
250,2017-01-12,2017,1,0.9795569181442261
251,2016-12-02,2016,4,0.7890520691871643
252,2016-12-02,2016,4,0.9976528286933899
253,2016-11-21,2016,4,0.9958813190460205
254,2016-11-17,2016,4,0.989682674407959
255,2016-11-11,2016,4,0.9710566401481628
256,2016-11-04,2016,4,0.9795569181442261
257,2016-10-24,2016,4,-0.7370734810829163
258,2016-10-21,2016,4,0.6553312540054321
259,2016-10-14,2016,4,0.984968364238739
260,2016-10-09,2016,4,0.9795569181442261
261,2016-10-07,2016,4,0.9998130202293396
262,2016-09-29,2016,3,0.9984554052352905
263,2016-09-27,2016,3,0.9992986917495728
264,2016-09-12,2016,3,0.999290943145752
265,2016-07-12,2016,3,0.9795569181442261
266,2016-06-28,2016,2,0.9795569181442261
267,2016-06-22,2016,2,-0.9489478468894958
268,2016-06-21,2016,2,-0.9834378957748413
269,2016-06-06,2016,2,0.9888285994529724
270,2016-06-03,2016,2,0.9989858269691467
271,2016-05-20,2016,2,0.6843017935752869
272,2016-04-14,2016,2,0.9864621758460999
273,2016-03-29,2016,1,0.9795569181442261
274,2016-03-07,2016,1,0.9795569181442261
275,2016-02-26,2016,1,0.9173762798309326
276,2016-02-23,2016,1,0.9795569181442261
277,2016-02-10,2016,1,0.9994524121284485
278,2016-02-01,2016,1,0.9795569181442261
279,2015-12-03,2015,4,0.9180344939231873
280,2015-12-02,2015,4,0.9954230189323425
281,2015-12-01,2015,4,-0.53818678855896
282,2015-11-20,2015,4,0.9034919142723083
283,2015-11-17,2015,4,0.8883748054504395
284,2015-11-12,2015,4,0.9795569181442261
285,2015-11-12,2015,4,0.9795569181442261
286,2015-11-06,2015,4,0.9721733927726746
287,2015-11-05,2015,4,0.8883748054504395
288,2015-11-04,2015,4,-0.6690636873245239
289,2015-10-20,2015,4,0.9992986917495728
290,2015-10-20,2015,4,0.8883748054504395
291,2015-10-19,2015,4,-0.5855616331100464
292,2015-10-12,2015,4,0.9983002543449402
293,2015-10-11,2015,4,0.9795569181442261
294,2015-09-30,2015,3,-0.9713384509086609
295,2015-09-30,2015,3,0.955931544303894
296,2015-09-28,2015,3,0.8961042165756226
297,2015-08-03,2015,3,0.9795569181442261
298,2015-07-10,2015,3,0.9998044371604919
299,2015-07-09,2015,3,0.9816085696220398
300,2015-07-01,2015,3,0.9972012042999268
301,2015-06-30,2015,2,0.9795569181442261
302,2015-06-25,2015,2,0.967341423034668
303,2015-06-24,2015,2,0.9970723390579224
304,2015-06-02,2015,2,0.9795569181442261
305,2015-05-26,2015,2,0.7789910435676575
306,2015-05-22,2015,2,0.9795569181442261
307,2015-05-21,2015,2,0.9801056981086731
308,2015-05-14,2015,2,0.8883748054504395
309,2015-05-06,2015,2,0.9973767995834351
310,2015-05-04,2015,2,-0.9676360487937927
311,2015-04-30,2015,2,0.6198322176933289
312,2015-04-02,2015,2,0.9951146841049194
313,2015-04-02,2015,2,0.9801487326622009
314,2015-03-30,2015,1,0.8883748054504395
315,2015-03-27,2015,1,-0.9945710301399231
316,2015-03-27,2015,1,0.9153902530670166
317,2015-03-23,2015,1,0.9795569181442261
318,2015-03-03,2015,1,0.6553312540054321
319,2015-02-04,2015,1,-0.9159436821937561
320,2015-01-30,2015,1,0.5791259407997131
321,2015-01-20,2015,1,0.617634654045105
322,2014-12-03,2014,4,-0.6690636873245239
323,2014-12-02,2014,4,0.9994764924049377
324,2014-11-20,2014,4,-0.9328705668449402
325,2014-11-07,2014,4,-0.9599611759185791
326,2014-11-07,2014,4,0.9888285994529724
327,2014-10-30,2014,4,0.9984554052352905
328,2014-10-20,2014,4,0.9598157405853271
329,2014-10-20,2014,4,0.984718918800354
330,2014-10-11,2014,4,0.7789910435676575
331,2014-09-30,2014,3,0.9795569181442261
332,2014-09-23,2014,3,0.9174062609672546
333,2014-09-18,2014,3,-0.9985880255699158
334,2014-09-04,2014,3,0.9828180074691772
335,2014-08-22,2014,3,0.5092683434486389
336,2014-08-11,2014,3,-0.6690636873245239
337,2014-07-10,2014,3,0.9656578302383423
338,2014-07-02,2014,3,0.9795569181442261
339,2014-06-25,2014,2,0.9795569181442261
340,2014-06-09,2014,2,0.8883748054504395
341,2014-06-06,2014,2,0.6272823810577393
342,2014-05-21,2014,2,-0.9402212500572205
343,2014-05-15,2014,2,0.9795569181442261
344,2014-05-08,2014,2,0.8883748054504395
345,2014-05-06,2014,2,0.9795569181442261
346,2014-05-01,2014,2,0.6198322176933289
347,2014-04-16,2014,2,0.9795569181442261
348,2014-04-15,2014,2,0.9997286200523376
349,2014-04-09,2014,2,0.9795569181442261
350,2014-03-31,2014,1,0.9795569181442261
351,2014-03-25,2014,1,0.9988144636154175
352,2014-03-24,2014,1,0.9958916902542114
353,2014-03-05,2014,1,0.6477993130683899
354,2014-02-28,2014,1,0.9795569181442261
355,2014-02-25,2014,1,-0.993488073348999
356,2014-01-03,2014,1,0.9795569181442261
357,2013-12-16,2013,4,0.9996651411056519
358,2013-12-16,2013,4,0.7074486017227173
359,2013-11-22,2013,4,0.9879180788993835
360,2013-11-21,2013,4,0.5060266256332397
361,2013-11-19,2013,4,0.9802846908569336
362,2013-11-14,2013,4,0.9995934367179871
363,2013-11-13,2013,4,0.9795569181442261
364,2013-11-08,2013,4,-0.949765682220459
365,2013-11-07,2013,4,-0.9461271166801453
366,2013-10-18,2013,4,0.9985565543174744
367,2013-10-18,2013,4,0.9872075915336609
368,2013-10-14,2013,4,0.9958813190460205
369,2013-10-11,2013,4,0.9888285994529724
370,2013-10-04,2013,4,0.9616153240203857
371,2013-10-03,2013,4,0.9598157405853271
372,2013-10-02,2013,4,0.9775165319442749
373,2013-09-26,2013,3,0.9690987467765808
374,2013-09-20,2013,3,-0.9477027654647827
375,2013-07-17,2013,3,0.8883748054504395
376,2013-07-10,2013,3,-0.6690636873245239
377,2013-07-02,2013,3,0.9795569181442261
378,2013-06-28,2013,2,0.9795569181442261
379,2013-06-27,2013,2,0.9795569181442261
380,2013-06-06,2013,2,0.9174062609672546
381,2013-06-02,2013,2,-0.9905840158462524
382,2013-06-02,2013,2,0.9949396848678589
383,2013-05-18,2013,2,0.9990918636322021
384,2013-05-16,2013,2,0.9957408905029297
385,2013-05-10,2013,2,0.6477993130683899
386,2013-05-03,2013,2,0.9875248670578003
387,2013-04-19,2013,2,-0.9328705668449402
388,2013-04-18,2013,2,-0.9965974688529968
389,2013-04-17,2013,2,-0.8403830528259277
390,2013-04-16,2013,2,-0.9870635271072388
391,2013-04-12,2013,2,-0.8051165342330933
392,2013-04-08,2013,2,0.9795569181442261
393,2013-04-04,2013,2,0.9795569181442261
394,2013-04-04,2013,2,0.9795569181442261
395,2013-03-25,2013,1,-0.9804567098617554
396,2013-03-22,2013,1,0.9795569181442261
397,2013-03-08,2013,1,0.9795569181442261
398,2013-03-04,2013,1,0.5536340475082397
399,2013-03-04,2013,1,0.9795569181442261
400,2013-02-28,2013,1,0.967341423034668
401,2013-02-22,2013,1,0.9795569181442261
402,2013-02-05,2013,1,0.5798890590667725
403,2012-12-17,2012,4,0.9994499087333679
404,2012-12-04,2012,4,0.8883748054504395
405,2012-11-30,2012,4,0.9875248670578003
406,2012-11-28,2012,4,-0.9443401098251343
407,2012-11-20,2012,4,0.967341423034668
408,2012-11-15,2012,4,0.9174062609672546
409,2012-11-09,2012,4,0.9174062609672546
410,2012-10-14,2012,4,0.9598125219345093
411,2012-10-11,2012,4,0.9474266171455383
412,2012-10-11,2012,4,0.9897702932357788
413,2012-10-10,2012,4,-0.9090690016746521
414,2012-10-01,2012,4,0.9795569181442261
415,2012-08-31,2012,3,0.9888285994529724
416,2012-08-07,2012,3,0.9969852566719055
417,2012-08-06,2012,3,0.9504472017288208
418,2012-07-24,2012,3,0.9602729082107544
419,2012-07-23,2012,3,0.998381495475769
420,2012-07-20,2012,3,0.9795569181442261
421,2012-06-12,2012,2,0.9955413937568665
422,2012-05-15,2012,2,0.9530911445617676
423,2012-05-10,2012,2,0.9655958414077759
424,2012-05-02,2012,2,-0.9958118200302124
425,2012-04-13,2012,2,0.9845474362373352
426,2012-04-12,2012,2,0.9938866496086121
427,2012-04-10,2012,2,0.9775165319442749
428,2012-04-09,2012,2,0.9962128400802612
429,2012-03-27,2012,1,0.965120255947113
430,2012-03-23,2012,1,-0.8778435587882996
431,2012-03-14,2012,1,0.8246371150016785
432,2012-03-01,2012,1,0.9795569181442261
433,2012-02-16,2012,1,0.9775165319442749
434,2012-02-10,2012,1,0.940138041973114
435,2012-01-16,2012,1,-0.9607129096984863
436,2012-01-13,2012,1,0.9740409255027771
437,2012-01-07,2012,1,0.97911137342453
438,2012-01-06,2012,1,0.9993674159049988
439,2011-11-11,2011,4,0.8305203914642334
440,2011-11-10,2011,4,0.9795569181442261
441,2011-11-09,2011,4,-0.8795113563537598
442,2011-11-09,2011,4,0.9995713829994202
443,2011-11-04,2011,4,-0.6800855994224548
444,2011-10-22,2011,4,0.9726747870445251
445,2011-10-21,2011,4,0.9958813190460205
446,2011-10-20,2011,4,0.9997199177742004
447,2011-10-18,2011,4,0.994017481803894
448,2011-10-04,2011,4,0.6553312540054321
449,2011-09-28,2011,3,0.7934707999229431
450,2011-09-26,2011,3,0.8679446578025818
451,2011-09-15,2011,3,-0.8377829194068909
452,2011-09-15,2011,3,0.9268396496772766
453,2011-09-08,2011,3,0.9795569181442261
454,2011-09-01,2011,3,0.9763703346252441
455,2011-08-26,2011,3,0.9795569181442261
456,2011-06-29,2011,2,-0.6573370695114136
457,2011-06-14,2011,2,0.9888285994529724
458,2011-06-09,2011,2,0.9726324677467346
459,2011-06-07,2011,2,0.9795569181442261
460,2011-06-03,2011,2,0.9997771382331848
461,2011-05-24,2011,2,0.9994685053825378
462,2011-05-16,2011,2,0.9997661709785461
463,2011-05-12,2011,2,0.999471127986908
464,2011-05-10,2011,2,0.9916764497756958
465,2011-05-06,2011,2,0.9913397431373596
466,2011-05-05,2011,2,0.9268396496772766
467,2011-04-29,2011,2,0.9795569181442261
468,2011-04-28,2011,2,0.9803034067153931
469,2011-04-11,2011,2,0.9913946986198425
470,2011-04-07,2011,2,-0.9603110551834106
471,2011-04-04,2011,2,-0.9661145210266113
472,2011-03-31,2011,1,0.9174062609672546
473,2011-03-23,2011,1,0.9875248670578003
474,2011-03-04,2011,1,0.9593026638031006
475,2011-03-02,2011,1,-0.8960331678390503
476,2011-02-18,2011,1,0.9598125219345093
477,2011-02-11,2011,1,0.9938866496086121
478,2011-02-03,2011,1,0.9795569181442261
479,2011-02-02,2011,1,-0.9891343712806702
480,2011-01-07,2011,1,0.9795569181442261
481,2010-12-02,2010,4,-0.9930616021156311
482,2010-12-01,2010,4,0.9888285994529724
483,2010-11-19,2010,4,0.9795569181442261
484,2010-11-12,2010,4,0.9539191126823425
485,2010-11-12,2010,4,-0.9893031120300293
486,2010-11-08,2010,4,0.9940874576568604
487,2010-10-25,2010,4,0.9842706322669983
488,2010-10-19,2010,4,0.9795569181442261
